Region,Landform/Region,Publication,Isotope,Sample_name,Scaling,Latitude_DD,Longitude_DD,Elevation_m,Pressure,Flag,Thickness,Density,Shielding,Erosion rate,10Be_Conc,10Be_standard,26Al_Conc,26Al_standard,Attenuation length,Depth to Top of Sample,Year Collected,Latitude_Uncertainty,Longitude_Uncertainty,Elevation_Uncertainty,Pressure_Uncertainty,Thickness_Uncertainty,Density_Uncertainty,Shielding_Uncertainty,Erosion_Uncertainty,10Be_Uncertainty,26Al_Uncertainty,Attenuation_Uncertainty,Depth_Uncertainty,Year_Uncertainty,SH_Mean,SH_SEM,CRONUS_Age_2020_03_27,CRONUS_Internal_2020_03_27,CRONUS_External_2020_03_27
British,Cairngorms,Kirkbride et al. (2014),10Be,LCO3,LM,57.10859,-3.68351,915,,Elevation,2,2.7,0.9798,0,127762,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,3805,0,,,,47.52,1.16,13.5,0.40377,1.1
British,Cairngorms,Kirkbride et al. (2014),10Be,LCO4,LM,57.10875,-3.68435,906,,Elevation,5,2.7,0.98,0,129841,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,7664,0,,,,39.57,1.33,14.2,0.8402,1.4
British,Cairngorms,Kirkbride et al. (2014),10Be,LCO5,LM,57.10909,-3.68562,898,,Elevation,3,2.7,0.9824,0,127517,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,3837,0,,,,36.73,1.05,13.8,0.41541,1.2
British,Cairngorms,Kirkbride et al. (2014),10Be,LCO6,LM,57.10913,-3.68461,895,,Elevation,2,2.7,0.985,0,141717,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,4074,0,,,,39.25,0.76,15.2,0.43682,1.3
British,Cairngorms,Kirkbride et al. (2014),10Be,LCI3,LM,57.10748,-3.68256,928,,Elevation,1,2.7,0.9867,0,129395,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,3869,0,,,,41.79,1.26,13.3,0.3998,1.1
British,Cairngorms,Kirkbride et al. (2014),10Be,LCI6,LM,57.10858,-3.685,905,,Elevation,1,2.7,0.987,0,135747,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,4359,0,,,,42.55,1.21,14.3,0.45859,1.2
British,Cairngorms,Kirkbride et al. (2014),10Be,LCI4,LM,57.10867,-3.68498,902,,Elevation,1,2.7,0.9854,0,120034,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,3299,0,,,,42.49,0.79,12.7,0.34894,1.1
British,Cairngorms,Phillips et al. (2008),10Be,BEN4,LM,57.2925,-2.56062,531,,Elevation,5,2.4,0.9831,0,163400,S555,0,KNSTD,,0,2008,,,,,,,,,6200,0,,,,26.53,0.86,23,0.94212,2
British,Cairngorms,Phillips et al. (2008),10Be,PF4,LM,57.24343,-2.558,384,,Elevation,4,2.7,1,0,128300,S555,0,KNSTD,,0,2008,,,,,,,,,15000,0,,,,30.67,1.62,20,2.5581,3
British,Cairngorms,Phillips et al. (2008),10Be,PF5,LM,57.24349,-2.55792,384,,Elevation,3,2.7,1,0,131900,S555,0,KNSTD,,0,2008,,,,,,,,,12500,0,,,,27.88,1.17,20.3,2.1137,2.6
British,Cairngorms,Phillips et al. (2008),10Be,PF3,LM,57.24328,-2.558,385,,Elevation,2.5,2.7,1,0,145600,S555,0,KNSTD,,0,2008,,,,,,,,,16600,0,,,,31,1.13,22.3,2.7956,3.3
British,Skye,Small et al. (2012),10Be,STR05-08,LM,57.27057,-6.00919,147,,Elevation,3.2,2.65,0.9984,0,78400,NIST_30300,0,KNSTD,,0,2012,,,,,,,,,9100,0,,,,41.08,0.96,15.3,1.9391,2.3
British,Skye,Small et al. (2012),10Be,STR04-08,LM,57.27053,-6.00871,147,,Elevation,2.3,2.65,0.9984,0,77900,NIST_30600,0,KNSTD,,0,2012,,,,,,,,,1480,0,,,,41.67,0.61,15,0.31292,1.2
British,Skye,Small et al. (2012),10Be,STR02-08,LM,57.26899,-6.00717,198,,Elevation,3.2,2.65,0.9984,0,85300,NIST_30600,0,KNSTD,,0,2012,,,,,,,,,4400,0,,,,40.39,0.7,15.7,0.89029,1.5
British,Skye,Small et al. (2012),10Be,SLAP-5,LM,57.19839,-6.00131,23,,Elevation,2.8,2.65,0.976,0,52900,NIST_30600,0,KNSTD,,0,2012,,,,,,,,,3100,0,,,,45.7,0.81,11.9,0.76658,1.2
British,Skye,Small et al. (2012),10Be,SLAP-4,LM,57.19812,-6.00149,21,,Elevation,2.5,2.65,0.976,0,56700,NIST_30600,0,KNSTD,,0,2012,,,,,,,,,2700,0,,,,41.39,0.58,12.8,0.66744,1.2
British,Skye,Small et al. (2012),10Be,SLAP-3,LM,57.19868,-6.0011,26,,Elevation,2.6,2.65,0.9968,0,55700,NIST_30600,0,KNSTD,,0,2012,,,,,,,,,2600,0,,,,41.69,1.14,12.2,0.62648,1.1
British,Skye,Small et al. (2012),10Be,SLAP-2,LM,57.19865,-6.0011,26,,Elevation,2.7,2.65,0.9968,0,58600,NIST_30600,0,KNSTD,,0,2012,,,,,,,,,3200,0,,,,45.4,0.85,12.9,0.77164,1.3
British,Skye,Small et al. (2012),10Be,SLAP-1,LM,57.19865,-6.00111,26,,Elevation,2.5,2.65,0.9968,0,61600,NIST_30600,0,KNSTD,,0,2012,,,,,,,,,2800,0,,,,43.3,0.74,13.5,0.67448,1.3
British,Shap,Wilson et al. (2013),10Be,SHAP-02,LM,54.4832,-2.63761,280,,Elevation,7.5,2.59,0.9955,0,87140,NIST_27900,0,KNSTD,,0,2013,,,,,,,,,3410,0,,,,39.67,0.8,17.2,0.67472,1.5
British,Shap,Wilson et al. (2013),10Be,SHAP-03,LM,54.48643,-2.63406,220,,Elevation,2.5,2.62,0.9931,0,100000,NIST_27900,0,KNSTD,,0,2013,,,,,,,,,3450,0,,,,35.84,0.54,20.1,0.69758,1.7
British,Shap,Wilson et al. (2013),10Be,SHAP-07,LM,54.49098,-2.61322,325,,Elevation,3,2.6,0.9761,0,88930,NIST_27900,0,KNSTD,,0,2013,,,,,,,,,3570,0,,,,38.87,0.68,16.5,0.66441,1.5
British,Shap,Wilson et al. (2013),10Be,SHAP-08,LM,54.47993,-2.61753,330,,Elevation,5,2.6,0.9939,0,114150,NIST_27900,0,KNSTD,,0,2013,,,,,,,,,4100,0,,,,28.85,0.52,21.1,0.75901,1.8
British,Cairngorms,Everest and Kubik (2006),10Be,CE9,LM,57.09855,-3.80015,618,,Elevation,8,2.7,0.951738,0,117791,S555,0,KNSTD,,0,2006,,,,,,,,,6596.296,0,,,,34.47,0.63,16,0.98538,1.6
British,Cairngorms,Everest and Kubik (2006),10Be,CE8,LM,57.0983,-3.80012,617,,Elevation,8,2.7,0.961516,0,106699,S555,0,KNSTD,,0,2006,,,,,,,,,7362.231,0,,,,35.13,0.7,14.4,1.0878,1.6
British,Cairngorms,Everest and Kubik (2006),10Be,CE4,LM,57.13184,-3.77971,421,,Elevation,7,2.7,0.993664,0,108635,S555,0,KNSTD,,0,2006,,,,,,,,,9451.245,0,,,,35.16,0.63,16.8,1.6062,2.1
British,Cairngorms,Everest and Kubik (2006),10Be,CE3,LM,57.12981,-3.78208,457,,Elevation,4,2.7,0.987432,0,115165,S555,0,KNSTD,,0,2006,,,,,,,,,5758.25,0,,,,39.57,0.81,16.9,0.92772,1.6
British,Cairngorms,Everest and Kubik (2006),10Be,CE2,LM,57.12924,-3.7842,479,,Elevation,2,2.7,0.980448,0,107169,S555,0,KNSTD,,0,2006,,,,,,,,,8037.675,0,,,,36.31,0.82,15.2,1.2545,1.7
British,Cairngorms,Everest and Kubik (2006),10Be,CE1,LM,57.13185,-3.78143,422,,Elevation,9,2.7,0.990432,0,102661,S555,0,KNSTD,,0,2006,,,,,,,,,5749.016,0,,,,36,0.6,16.2,0.99621,1.6
British,Cairngorms,Kirkbride et al. (2014),10Be,CLU1,LM,57.1043,-3.678,1040,,Elevation,2,2.7,0.9205,0,27772,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,3353,0,,,,59.5,0.72,2.8,0.3391,0.4
British,Cairngorms,Kirkbride et al. (2014),10Be,CLU2,LM,57.1044,-3.678,1052,,Elevation,3,2.7,0.9205,0,16513,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,1723,0,,,,63,0.66,1.67,0.17428,0.22
British,Cairngorms,Kirkbride et al. (2014),10Be,CLU3,LM,57.1044,-3.678,1043,,Elevation,4,2.7,0.9205,0,54292,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,3858,0,,,,58.12,0.53,5.57,0.39476,0.59
British,Cairngorms,Kirkbride et al. (2014),10Be,CLU4,LM,57.1036,-3.6796,1043,,Elevation,5,2.7,0.8646,0,7945,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,1273,0,,,,63.69,0.55,0.874,0.14161,0.16
British,Cairngorms,Kirkbride et al. (2014),10Be,CLU5,LM,57.1037,-3.6794,1036,,Elevation,4,2.7,0.8646,0,22140,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,2491,0,,,,60.79,0.63,2.43,0.2726,0.33
British,Rannoch,Small and Fabel (2016),10Be,RMOOR01,LM,56.635542,-4.779948,327,,Elevation,1.6,2.65,0.9989,0,63780,NIST_27900,0,KNSTD,,0,2016,,,,,,,,,1513,0,,,,47.25,0.45,11.22,0.26699,0.92
British,Rannoch,Small and Fabel (2016),10Be,RMOOR02,LM,56.634373,-4.781235,326,,Elevation,1.2,2.65,0.9998,0,65073,NIST_27900,0,KNSTD,,0,2016,,,,,,,,,1534,0,,,,46.48,0.46,11.41,0.26977,0.93
British,Rannoch,Small and Fabel (2016),10Be,RMOOR03,LM,56.634385,-4.780034,329,,Elevation,1.2,2.65,0.9998,0,72794,NIST_27900,0,KNSTD,,0,2016,,,,,,,,,1878,0,,,,42.94,0.56,12.7,0.32949,1.1
British,Rannoch,Small and Fabel (2016),10Be,RMOOR04,LM,56.634219,-4.778639,329,,Elevation,1.2,2.65,0.9998,0,66488,NIST_27900,0,KNSTD,,0,2016,,,,,,,,,1746,0,,,,45.29,0.54,11.62,0.30615,0.96
British,Rannoch,Small and Fabel (2016),10Be,RMOOR05,LM,56.633866,-4.775742,326,,Elevation,3,2.65,0.9997,0,63988,NIST_27900,0,KNSTD,,0,2016,,,,,,,,,1536,0,,,,46.53,0.47,11.39,0.27434,0.93
British,Rannoch,Small and Fabel (2016),10Be,RMOOR06,LM,56.634,-4.774948,323,,Elevation,1.5,2.65,0.9997,0,68674,NIST_27900,0,KNSTD,,0,2016,,,,,,,,,1699,0,,,,44.76,0.53,12,0.30044,1
British,Donegal,Clark et al. (2009),10Be,BF-04-04,LM,55.1313,-8.2804,116,,Elevation,2.49,2.7,0.995,0,109400,NIST_30600,0,KNSTD,,0,2009,,,,,,,,,5200,0,,,,27.23,1.08,22.1,1.1557,2.1
British,Donegal,Clark et al. (2009),10Be,BF-04-05,LM,55.1321,-8.2802,108,,Elevation,2.1,2.7,0.995,0,106200,NIST_30600,0,KNSTD,,0,2009,,,,,,,,,5800,0,,,,30.23,1.12,21.5,1.2955,2.1
British,Donegal,Clark et al. (2009),10Be,BF-04-06,LM,55.1321,-8.2802,108,,Elevation,2,2.7,0.995,0,106800,NIST_30600,0,KNSTD,,0,2009,,,,,,,,,6800,0,,,,29.53,1.44,21.6,1.5176,2.3
British,Donegal,Clark et al. (2009),10Be,BF-04-08,LM,55.1311,-8.2808,107,,Elevation,2,2.7,0.995,0,118000,NIST_30600,0,KNSTD,,0,2009,,,,,,,,,6800,0,,,,25.57,0.9,23.9,1.5208,2.4
British,Donegal,Clark et al. (2009),10Be,BF-04-09,LM,55.1311,-8.2808,107,,Elevation,2,2.7,0.995,0,108800,NIST_30600,0,KNSTD,,0,2009,,,,,,,,,7400,0,,,,28.03,1.25,22.1,1.6532,2.4
British,Donegal,Clark et al. (2009),10Be,BF-04-10,LM,55.1311,-8.2808,107,,Elevation,2,2.7,0.995,0,110700,NIST_30600,0,KNSTD,,0,2009,,,,,,,,,7300,0,,,,30.27,1.2,22.4,1.631,2.4
British,Blackstairs,Ballantyne and Stone (2015),10Be,IRE-SE-38,LM,52.541979,-6.816949,556,,Elevation,3.4,2.65,0.999,0,154400,07KNSTD,0,KNSTD,,0,2015,,,,,,,,,6100,0,,,,28.71,0.53,23,0.90766,2
British,Blackstairs,Ballantyne and Stone (2015),10Be,IRE-SE-39,LM,52.538279,-6.822865,452,,Elevation,3.9,2.65,0.947,0,133600,07KNSTD,0,KNSTD,,0,2015,,,,,,,,,3200,0,,,,29.01,0.68,23.1,0.5548,1.9
British,Donegal,Ballantyne et al. (2007),10Be,BF-01,LM,55.1376,-8.2901,75,,Elevation,4,2.7,1,0,100400,KNSTD,0,KNSTD,,0,2007,,,,,,,,,4600,0,,,,28.81,1.06,21,1.0764,2
British,Donegal,Ballantyne et al. (2007),10Be,BF-02,LM,55.1333,-8.1646,70,,Elevation,3.7,2.6,1,0,87200,KNSTD,0,KNSTD,,0,2007,,,,,,,,,3700,0,,,,33.08,1.32,18.3,0.86528,1.7
British,Arran,Finlayson et al. (2014),10Be,D1,LM,55.592,-5.3368,49,,Elevation,2,2.65,0.9969,0,67550,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,2630,0,,,,38.92,1.34,15.9,0.62241,1.4
British,Arran,Finlayson et al. (2014),10Be,D2,LM,55.592,-5.3369,47,,Elevation,2,2.65,0.9965,0,70900,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,2550,0,,,,37.84,1.25,16.8,0.60557,1.4
British,Wicklow,Barth et al. (2017),10Be,CRS-14-1,LM,52.9602,-6.4267,491,,Elevation,2,2.69,0.996,0,72800,07KNSTD,0,KNSTD,,0,2017,,,,,,,,,3000,0,,,,46.59,0.88,11,0.46738,1
British,Wicklow,Barth et al. (2017),10Be,CRS-14-2,LM,52.9609,-6.4274,588,,Elevation,2,2.69,0.997,0,65300,07KNSTD,0,KNSTD,,0,2017,,,,,,,,,3200,0,,,,47.09,0.69,9.27,0.45702,0.86
British,Wicklow,Barth et al. (2017),10Be,CRS-14-6,LM,52.9606,-6.4269,586,,Elevation,2,2.69,0.997,0,80800,07KNSTD,0,KNSTD,,0,2017,,,,,,,,,2700,0,,,,44.4,0.72,11.5,0.38568,0.98
British,Cairngorms,Hall et al. (2016),10Be,CG12-001,LM,57.15459,-3.63217,737,,Elevation,2,2.69,1,0,126400,KNSTD,0,KNSTD,,0,2016,,,,,,,,,6000,0,,,,40.96,0.96,13.8,0.72746,1.3
British,Cairngorms,Hall et al. (2016),10Be,CG12-002,LM,57.15475,-3.63211,739,,Elevation,5,2.69,1,0,121700,KNSTD,0,KNSTD,,0,2016,,,,,,,,,6100,0,,,,44.66,1.13,13.6,0.75788,1.3
British,Cairngorms,Hall et al. (2016),10Be,CG12-003,LM,57.15447,-3.63194,740,,Elevation,1,2.69,1,0,122600,KNSTD,0,KNSTD,,0,2016,,,,,,,,,5300,0,,,,45.47,1.02,13.3,0.63576,1.2
British,Cairngorms,Hall et al. (2016),10Be,CG12-004,LM,57.15297,-3.63331,735,,Elevation,4.5,2.69,1,0,142600,KNSTD,0,KNSTD,,0,2016,,,,,,,,,7300,0,,,,42.89,1,16,0.90693,1.5
British,Cairngorms,Hall et al. (2016),10Be,CG14-002,LM,57.14671,-3.63723,723,,Elevation,3.5,2.69,0.959,0,132100,KNSTD,0,KNSTD,,0,2016,,,,,,,,,5100,0,,,,40.01,1.12,15.5,0.66129,1.4
British,Cairngorms,Hall et al. (2016),10Be,CG14-003,LM,57.15042,-3.6416,603,,Elevation,1.5,2.69,0.972,0,117500,KNSTD,0,KNSTD,,0,2016,,,,,,,,,5000,0,,,,43.64,1.22,14.8,0.6993,1.4
British,Cairngorms,Hall et al. (2016),10Be,CG14-004,LM,57.15534,-3.64624,546,,Elevation,1,2.69,0.976,0,96970,KNSTD,0,KNSTD,,0,2016,,,,,,,,,4120,0,,,,42.14,1.05,12.8,0.60219,1.2
British,Cairngorms,Hall et al. (2016),10Be,CG14-005,LM,57.15101,-3.64939,540,,Elevation,3.5,2.69,0.974,0,106700,KNSTD,0,KNSTD,,0,2016,,,,,,,,,4500,0,,,,40.66,1.18,14.5,0.67683,1.3
